epoch;cumulative_absolute_percentage_error_kerras_metric;loss;root_mean_squared_error;val_cumulative_absolute_percentage_error_kerras_metric;val_loss;val_root_mean_squared_error
0;0.1274069994688034;610482304.0;24707.939453125;0.10556726902723312;329899008.0;18163.12109375
1;0.09083041548728943;251198688.0;15849.2490234375;0.09864269942045212;282186688.0;16798.412109375
2;0.08953646570444107;247298032.0;15725.7119140625;0.10181475430727005;329236928.0;18144.88671875
3;0.08769228309392929;239645728.0;15480.4951171875;0.11865958571434021;467916704.0;21631.3828125
4;0.09048393368721008;264511440.0;16263.8076171875;0.10111907869577408;318553408.0;17848.064453125
5;0.08284533768892288;210686560.0;14515.0458984375;0.09146826714277267;256235504.0;16007.357421875
6;0.08237583935260773;209845104.0;14486.03125;0.09526904672384262;290582112.0;17046.46875
7;0.08272600919008255;214948512.0;14661.1220703125;0.09902384877204895;316660800.0;17794.96484375
8;0.08270097523927689;220824384.0;14860.1611328125;0.10166788846254349;325130752.0;18031.3828125
9;0.08033129572868347;208880448.0;14452.6962890625;0.08834736049175262;248396512.0;15760.599609375
10;0.07703643292188644;190557712.0;13804.2646484375;0.09370463341474533;246859632.0;15711.767578125
11;0.07769818603992462;193907920.0;13925.08203125;0.09070329368114471;258429648.0;16075.7470703125
12;0.07718821614980698;194576816.0;13949.0791015625;0.10510475188493729;371159840.0;19265.5078125
13;0.07757504284381866;197382400.0;14049.2841796875;0.08832012116909027;248993248.0;15779.51953125
14;0.07465238124132156;182465008.0;13507.9609375;0.09018585830926895;269833824.0;16426.619140625
15;0.07763603329658508;201719536.0;14202.7998046875;0.09306377172470093;269817024.0;16426.107421875
16;0.07625461369752884;188208704.0;13718.91796875;0.09107312560081482;260155376.0;16129.3330078125
17;0.07530411332845688;185636464.0;13624.8466796875;0.08655983209609985;240618752.0;15511.890625
18;0.07418081909418106;181516352.0;13472.80078125;0.08614616096019745;239928224.0;15489.6162109375
19;0.07277148216962814;176775712.0;13295.7021484375;0.0892164558172226;250826080.0;15837.4892578125
20;0.07381091266870499;181527152.0;13473.201171875;0.08875329792499542;253162848.0;15911.091796875
21;0.0723101869225502;174970192.0;13227.6298828125;0.08572743088006973;232766784.0;15256.6962890625
22;0.07327978312969208;176879280.0;13299.5966796875;0.08849557489156723;249557696.0;15797.3955078125
23;0.07204783707857132;171492752.0;13095.5244140625;0.09199191629886627;270808512.0;16456.259765625
24;0.07202316075563431;170467104.0;13056.3046875;0.0860593318939209;231884272.0;15227.74609375
25;0.07373778522014618;178861296.0;13373.9033203125;0.08940160274505615;261857152.0;16182.0009765625
26;0.07261480391025543;176799824.0;13296.609375;0.11189362406730652;426604608.0;20654.408203125
27;0.07297854870557785;178010720.0;13342.0654296875;0.09260891377925873;263086848.0;16219.9521484375
28;0.07181823253631592;171336752.0;13089.56640625;0.08723360300064087;235205104.0;15336.3974609375
29;0.07183720916509628;171483216.0;13095.16015625;0.0890558660030365;257573040.0;16049.08203125
30;0.07101757079362869;167843680.0;12955.44921875;0.08640510588884354;239717456.0;15482.8115234375
31;0.07161055505275726;170563552.0;13059.998046875;0.09101083874702454;250978128.0;15842.2890625
32;0.06974127888679504;159729424.0;12638.41015625;0.08965002000331879;262032384.0;16187.4140625
33;0.07017695158720016;164941488.0;12842.955078125;0.0846768170595169;234950528.0;15328.095703125
34;0.06993652880191803;162533360.0;12748.857421875;0.08220692723989487;226778544.0;15059.16796875
35;0.06986172497272491;165707584.0;12872.74609375;0.09860377758741379;319306720.0;17869.154296875
36;0.06987525522708893;161493152.0;12707.9951171875;0.08655163645744324;227324528.0;15077.28515625
37;0.0715131014585495;172260976.0;13124.822265625;0.09092124551534653;250327872.0;15821.7529296875
38;0.06937377154827118;159851408.0;12643.2353515625;0.07929404824972153;205645248.0;14340.3359375
39;0.0714515894651413;171838832.0;13108.7314453125;0.10889293253421783;383602112.0;19585.76171875
40;0.06950096786022186;159450288.0;12627.3623046875;0.08446450531482697;225740928.0;15024.6767578125
41;0.06863881647586823;156249904.0;12499.99609375;0.08420560508966446;230959984.0;15197.3671875
42;0.06995919346809387;165080224.0;12848.3544921875;0.0833243727684021;214968064.0;14661.7890625
