,Wind speed at 48m [$m/s$],Wind speed at 100m [$m/s$],Wind speed at 152m [$m/s$],Wind direction at 48m,Wind direction at 100m,Wind direction at 152m,Probabilistic wind speed at 100m (10 Percentile) [$m/s$],Probabilistic wind speed at 100m (20 Percentile) [$m/s$],Probabilistic wind speed at 100m (30 Percentile) [$m/s$],Probabilistic wind speed at 100m (40 Percentile) [$m/s$],Probabilistic wind speed at 100m (50 Percentile) [$m/s$],Probabilistic wind speed at 100m (60 Percentile) [$m/s$],Probabilistic wind speed at 100m (70 Percentile) [$m/s$],Probabilistic wind speed at 100m (80 Percentile) [$m/s$],Probabilistic wind speed at 100m (90 Percentile) [$m/s$],Interpolated,Available capacity [$kW$],Wind power output [$kWh$]
count,52508.0,52508.0,52508.0,52508.0,52508.0,52508.0,52508.0,52508.0,52508.0,52508.0,52508.0,52508.0,52508.0,52508.0,52508.0,52508.0,52508.0,52508.0
mean,5.626846385312714,6.834924582920698,7.583339300677992,189.82405538203702,191.39981526624516,193.5288527462482,5.416192865849013,5.886837148624971,6.261160680277291,6.5501660699322,6.848693341966938,7.120104460272719,7.41015054848785,7.785676754018436,8.255468785708844,0.75,120019.56273329779,27293.66146111069
std,2.4667871961972634,2.883092127956076,3.2782934805140793,91.30382505849094,91.768029810588,91.85982778563722,2.7683153211512055,2.8070454709433115,2.8363656394509875,2.8602424054632793,2.884178651654838,2.9066804990896364,2.930317069437797,2.9594893907946394,2.9987279309858206,0.4330168252532971,4636.559770130974,29313.824236732842
min,0.55,0.58,0.57,0.0,0.0,0.0,0.0,0.0,0.14,0.37,0.58,0.74,1.0,1.33,1.74,0.0,0.0,-1628.0
25%,3.925,4.8500000000000005,5.225,119.0,119.5,122.0,3.525,3.9693750000000003,4.32,4.59,4.865,5.12,5.395,5.7525,6.19,0.75,119000.0,4928.0
50%,5.33,6.65,7.395,207.0,209.25,212.0,5.25,5.720000000000001,6.09,6.37,6.6625,6.93,7.21375,7.575,8.035,1.0,122400.0,17300.0
75%,6.965,8.555,9.7,255.5,258.0,260.5,7.075,7.577500000000001,7.96,8.26,8.57,8.85,9.16,9.545,10.03,1.0,122400.0,40415.0
max,18.87,21.69,23.36,360.0,360.0,360.0,19.61,20.18,20.75,21.38,21.7,22.16,22.58,22.98,23.47,1.0,122400.0,120520.0
